Date,총거래물량,총거래금액,평균단가,평균단가 편차,지역,작물명
2021-03-01,661167.2,948880750,1435.1600472618727,-589.3783994916755,부산,양파
2021-04-01,279887.8,196434770,701.8339849039509,143.94766286624633,부산,양파
2021-05-01,768062.0,365311350,475.6274233069726,370.1542244632246,부산,양파
2021-06-01,708322.0,338739500,478.22812223819113,367.55352553200606,부산,양파
2021-07-01,1288542.0,681556700,528.9363482137176,316.84529955647963,부산,양파
2021-08-01,1345408.0,912562900,678.2796742698126,167.50197350038457,부산,양파
2021-09-01,1234016.0,996077930,807.1839668205274,38.59768094966978,부산,양파
2021-10-01,1212757.0,958038500,789.9674048469726,55.81424292322458,부산,양파
2021-11-01,1176552.0,914646000,777.3953042449463,68.38634352525094,부산,양파
2021-12-01,624220.0,398787500,638.8572939027907,206.92435386740647,부산,양파
2022-01-01,1675200.0,903436700,539.300799904489,349.00834726859364,부산,양파
2022-02-01,1166486.0,472535300,405.09298868567646,483.21615848740623,부산,양파
2022-03-01,1474692.0,456234000,309.375788300201,578.9333588728816,부산,양파
2022-04-01,503553.4,170953710,339.4946990726306,548.8144481004521,부산,양파
2022-05-01,347183.8,232206200,668.8278658163198,219.4812813567629,부산,양파
2022-06-01,1849438.0,1748019600,945.1625845256776,-56.85343735259494,부산,양파
2022-07-01,1177002.9,1233083700,1047.6471213452403,-159.3379741721576,부산,양파
2022-08-01,1222928.0,1425984300,1166.0410915442285,-277.7319443711458,부산,양파
2022-09-01,989368.0,1244557260,1257.9315886505324,-369.6224414774497,부산,양파
2022-10-01,1169772.0,1536102500,1313.1640182873243,-424.8548711142416,부산,양파
2022-11-01,1083313.5,1416027430,1307.1261735407156,-418.8170263676329,부산,양파
2022-12-01,1019050.0,1311140800,1286.6304891811,-398.3213420080174,부산,양파
2023-01-01,790780.0,976412800,1234.746452869319,-210.0442474077117,부산,양파
2023-02-01,796796.5,1044297400,1310.6199638176122,-285.9177583560049,부산,양파
2023-03-01,873448.6,1108022810,1268.5609777152313,-243.858772253624,부산,양파
2023-04-01,81980.6,74042580,903.1719699538672,121.53023550774004,부산,양파
2023-05-01,1339554.0,1408339100,1051.3492550505616,-26.64704958895436,부산,양파
2023-06-01,2043407.0,1634258000,799.771166488125,224.93103897348223,부산,양파
2023-07-01,1155832.0,1023410400,885.4317928557091,139.27041260589817,부산,양파
2023-08-01,259857.1,254227800,978.3369398026838,46.36526565892348,부산,양파
2020-01-01,2276705.7,1806728300,793.5712990923683,-1.3026881733371738,대구,양파
2020-02-01,2582537.8,2550122300,987.4481992093204,-195.1795882902892,대구,양파
2020-03-01,2244144.0,1920156900,855.6299863110389,-63.361375392007744,대구,양파
2020-04-01,1166191.4,916842350,786.1851407924978,6.083470126533371,대구,양파
2020-05-01,996047.7,550908400,553.0943949772687,239.17421594176244,대구,양파
2020-06-01,7498033.7,3625737800,483.5584828059655,308.71012811306565,대구,양파
2020-07-01,3718600.2,2184632300,587.4878132906033,204.78079762842788,대구,양파
2020-08-01,3346878.8,2618695900,782.4292591652857,9.839351753745518,대구,양파
2020-09-01,3286783.9,2954752200,898.9797595150688,-106.71114859603767,대구,양파
2020-10-01,2975553.1,3006966500,1010.557163305202,-218.2885523861709,대구,양파
2020-11-01,2960735.5,3191115000,1077.8115775623996,-285.54296664336846,대구,양파
2020-12-01,2907084.4,3162763700,1087.950422079249,-295.68181116021776,대구,양파
2021-01-01,2247511.1,3399847400,1512.7166224006637,-654.2621806333672,대구,양파
2021-02-01,2257408.7,3834908500,1698.810011674005,-840.3555699067084,대구,양파
2021-03-01,3044932.5,4622783900,1518.1892866262224,-659.7348448589258,대구,양파
2021-04-01,728366.0,520110560,714.0785813725518,144.3758603947448,대구,양파
2021-05-01,193373.0,98795200,510.9048315948969,347.54961017239964,대구,양파
2021-06-01,3775422.000000001,1739275100,460.68362688992113,397.7708148773754,대구,양파
2021-07-01,3736560.000000001,1831847200,490.24964138137744,368.2048003859191,대구,양파
2021-08-01,2897080.2,1829727300,631.576336754502,226.8781050127945,대구,양파
2021-09-01,2670273.6,2054912300,769.5512175231783,88.90322424411829,대구,양파
2021-10-01,3223972.3,2483517700,770.3284857627344,88.12595600456211,대구,양파
2021-11-01,3864607.9,2880747200,745.4177175386926,113.03672422860392,대구,양파
2021-12-01,2435936.5,1380380400,566.6733923482817,291.78104941901483,대구,양파
2022-01-01,4018571.9,1845401000,459.2181117874238,291.3461538076885,대구,양파
2022-02-01,3764584.2,1300104500,345.35142021793536,405.212845377177,대구,양파
2022-03-01,6176011.3,1543838080,249.9733250164228,500.5909405786896,대구,양파
2022-04-01,4136933.9,1717492020,415.1606144831079,335.40365111200447,대구,양파
2022-05-01,3277520.5,1876707900,572.5998967817287,177.96436881338366,대구,양파
2022-06-01,5908156.5,5294131200,896.0715918747244,-145.50732627961202,대구,양파
2022-07-01,3459955.9000000004,3712494300,1072.9889071707532,-322.42464157564086,대구,양파
2022-08-01,3057455.0,3492631800,1142.333018801585,-391.76875320647264,대구,양파
2022-09-01,2547354.7,2941751000,1154.8258277498614,-404.2615621547491,대구,양파
2022-10-01,1863559.4,2392707400,1283.9447993983986,-533.3805338032862,대구,양파
